Date;Open;High;Low;Close;Volume
2024.05.10 04:00;2347.64;2355.79;2347.17;2353.92;12297
2024.05.10 08:00;2353.93;2372.06;2353.71;2369.58;14222
2024.05.10 12:00;2369.58;2378.32;2361.8;2364.79;14892
2024.05.10 16:00;2364.77;2372.92;2356.62;2368.23;19261
2024.05.10 20:00;2368.27;2370.91;2359.62;2360.77;7946
2024.05.13 00:00;2361.39;2364.42;2359.74;2363.99;4788
2024.05.13 04:00;2364.03;2364.1;2354.29;2354.29;10745
2024.05.13 08:00;2354.29;2355.04;2341.63;2343.27;12779
2024.05.13 12:00;2343.29;2349.78;2338.47;2347.13;13720
2024.05.13 16:00;2347.06;2349.32;2332.11;2336.73;17342
2024.05.13 20:00;2336.73;2338.44;2334.54;2336.45;6684
2024.05.14 00:00;2337.22;2339.66;2334.84;2336.36;3107
2024.05.14 04:00;2336.37;2344.8;2336.37;2344.06;9471
2024.05.14 08:00;2344.06;2345.9;2336.07;2343.71;12285
2024.05.14 12:00;2343.69;2350.24;2336.62;2348.19;14205
